,objid,crowded,badbkgmatch,ra,dec,l,b,nmatches,nreject,nbands,i1_fluxtype,i2_fluxtype,i3_fluxtype,i4_fluxtype,m1_fluxtype,i1_fluxflag,i2_fluxflag,i3_fluxflag,i4_fluxflag,m1_fluxflag,i1_softsatflag,i2_softsatflag,i3_softsatflag,i4_softsatflag,i1_f_ap2,i1_df_ap2,i2_f_ap2,i2_df_ap2,i3_f_ap2,i3_df_ap2,i4_f_ap2,i4_df_ap2,m1_f_psf,m1_df_psf,i1_extfrac,i2_extfrac,i3_extfrac,i4_extfrac,m1_extfrac,i1_brtfrac,i2_brtfrac,i3_brtfrac,i4_brtfrac,m1_brtfrac,i1_snr,i2_snr,i3_snr,i4_snr,m1_snr,i1_seflags,i2_seflags,i3_seflags,i4_seflags,m1_dflag,m1_sflag,i1_meannoise,i2_meannoise,i3_meannoise,i4_meannoise,m1_meannoise,smid,regid,irac_obstype,mips_obstype,i1_coverage,i2_coverage,i3_coverage,i4_coverage,m1_coverage,twomass_key,twomass_assoc,twomass_ra,twomass_dec,j,dj,h,dh,k,dk,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist,i1_app_mag,i1_ABS_MAG,i2_app_mag,i2_ABS_MAG,i3_app_mag,i3_ABS_MAG,i4_app_mag,i4_ABS_MAG,m1_app_mag,m1_ABS_MAG
112,SSTSL2 J105452.14-615209.2,0,0,163.717252,-61.869238,289.649598,-2.041396,1,0,7,1,1,1,1,1,2,2,2.0,2,1,0,0,0.0,0,12200.0,40.33,8164.0,46.21,5374.0,103.2,4547.0,69.34,1570.0,134.2,0.0,0.0,0.0,0.0,1.01,1.05,1.02,0.95,1.02,0.0,313.3,175.8,63.3,63.4,11.7,0,0,0.0,0,N,1,9.374,10.91,34.24,23.52,85.83,30002561,30002561-25814,0,0,2.9,3.04,2.85,3.04,11.57,792911078.0,1,163.7177,-61.86929,24080.0,620.9,27340.0,755.4,22680.0,563.9,Gaia DR3 5241862968982799360,163.71684307719,-61.86921669902,0.0,0.0,29.0,1636148068921376768,5241862968982799360,1350300766,0.0157,0.0168,8.4594,0.0189,448.3093,91.621,-90.377,0.021,15.049,0.02,0.1118,-0.0644,-0.2058,0.0475,0.1982,0.0845,-0.2337,0.1369,0.0002,0.1383,377,0,376,1,2.2771,425.84,0.054,0.93928,31,False,1.309,,,,,,,,43,28,0.030126,50,0.01066,160.7,0,0,1.084,0,412,26698.56124,9.37318,2848.4,14.621147,0.002782,48,6599.0,41.9208,157.416,15.789847,0.00744,49,31397.5,74.8976,419.205,13.505658,0.004582,1.423,0.0,22.0,0.0,23.0,0,2.284189,1.1687,1.115489,17.25,3.11,2.0,14.0,7.0,13.0,7.5244,,,989.635,,3700.0,4.5,0.0,101.0,,,,12.906866,0.028285,7.0,,NOT_AVAILABLE,0.0,0.0,0.999019,3592.2,3577.4,3604.5,4.5984,4.5494,4.6275,-0.5611,-0.6396,-0.4979,118.1266,117.7528,118.7272,0.6594,0.6479,0.671,0.4451,0.4371,0.4532,0.2652,0.2606,0.2699,MARCS,163.71769501753,-61.86928357888,0.336087,0.318586,0.1286,0.698308,10.905479771317076,5.5437412513933335,10.856612702662352,5.494874182738609,10.826000445641155,5.4642619257174125,10.373340714280328,5.011602194356586,9.149048758146417,3.787310238222675
414,SSTSL2 J023104.40-734232.0,0,0,37.768344,-73.708894,293.839461,-41.614047,1,0,7,1,1,1,1,1,0,0,0.0,0,0,0,0,0.0,0,5014.0,7.063,3508.0,6.715,2353.0,14.93,1496.0,12.6,1168.0,142.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.7,486.7,138.7,131.2,8.2,0,0,0.0,0,N,1,0.7831,1.09,3.572,5.402,102.4,40045991,40045991-89,0,0,4.44,4.28,4.15,4.05,9.56,133996465.0,1,37.76819,-73.70892,10870.0,270.4,12570.0,277.8,10270.0,255.4,Gaia DR3 4643453731148747520,37.76902366289,-73.70870676899,0.0,0.0,150.0,1636148068921376768,4643453731148747520,1482715711,0.0227,0.0231,5.9301,0.024,246.5906,65.216,48.948,0.026,43.095,0.03,-0.0319,0.2854,-0.1234,-0.2267,-0.0757,-0.1462,0.1924,0.0412,-0.1975,0.0697,318,0,317,1,-2.0147,269.94,0.0,0.0,31,False,1.308,,,,,,,,37,27,0.042294,44,0.0184,78.48,0,0,0.919,0,361,13024.19438,6.05255,2151.85,15.40049,0.002801,41,3116.09,14.2015,219.419,16.604519,0.005681,40,15008.8,18.2485,822.469,14.307032,0.004003,1.392,0.0,0.0,0.0,0.0,0,2.297487,1.204029,1.093458,20.31,6.55,2.0,18.0,2.0,16.0,4.323,,,974.726,,3600.0,4.5,-0.5,111.0,,,,13.718723,0.087824,19.0,,NOT_AVAILABLE,0.0,0.0,0.997667,3656.8,3655.0,3659.0,4.7459,4.7424,4.7491,-0.0625,-0.0727,-0.0434,167.252,166.5819,167.8865,0.6452,0.6388,0.6513,0.436,0.4317,0.4402,0.2604,0.2579,0.2628,MARCS,37.76824813881,-73.70889830155,0.415111,0.472052,0.0892,0.961989,11.87091852394845,5.754061925119236,11.773721231037426,5.656864632208212,11.722689782943975,5.605833184114761,11.580324115971992,5.463467517142778,9.47019078222855,3.353334183399335
714,SSTSL2 J202430.14+422233.7,0,0,306.125615,42.376034,80.132465,2.729961,1,0,7,1,1,1,1,1,2,0,0.0,0,0,0,0,0.0,0,7479.0,9.356,5722.0,8.578,4978.0,22.46,5169.0,33.24,5552.0,131.3,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,771.1,632.1,211.4,130.4,42.3,3,0,0.0,0,N,-1,1.574,1.688,7.224,8.676,87.67,30002641,30002641-32605,0,0,2.87,2.85,3.05,2.68,13.62,391527922.0,1,306.1258,42.37598,8310.0,191.3,10180.0,253.1,9745.0,188.5,Gaia DR3 2068913547814847616,306.12580370756,42.37622841716,0.0,0.0,140.0,1636148068921376768,2068913547814847616,360071895,0.0258,0.0262,5.6873,0.0308,184.491,54.616,-8.255,0.034,53.988,0.033,-0.0912,-0.0666,-0.1141,-0.0495,0.2175,-0.0882,-0.2039,-0.1453,-0.1333,-0.1281,350,0,347,3,1.464,394.06,0.103,1.4371,31,False,1.319,,,,,,,,41,26,0.049532,45,0.007158,53.21,0,0,1.056,0,372,10212.55667,4.6986,2173.53,15.664531,0.0028,40,2597.7,16.0753,161.595,16.80207,0.007275,36,11434.9,14.1006,810.954,14.60231,0.00401,1.374,0.0,3.0,0.0,1.0,0,2.19976,1.13754,1.062221,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.996487,3724.9,3699.9,3748.7,4.78,4.7549,4.7937,-0.4331,-0.5678,-0.3495,174.8311,173.2601,182.2544,0.7209,0.6968,0.7634,0.4949,0.478,0.5243,0.2854,0.2757,0.3019,MARCS,306.12585337391,42.3759884686,0.553085,0.530979,-0.1195,0.861234,11.436770514945355,5.223677064614694,11.242500559099325,5.029407108768664,10.909107370202593,4.696013919871932,10.234136769373869,4.021043319043208,7.777674245552504,1.5645807952218433
716,SSTSL2 J053548.22-013620.5,0,0,83.950939,-1.605701,205.534991,-17.522007,1,0,7,1,1,1,1,1,0,0,0.0,0,0,0,0,0.0,0,4317.0,8.922,2866.0,6.693,1954.0,17.11,1269.0,18.9,740.8,63.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.7,424.4,130.1,84.5,11.6,0,0,0.0,0,N,1,1.021,1.433,6.024,7.308,41.37,40043571,40043571-7,0,0,3.05,2.28,2.9,3.06,14.82,1194822031.0,1,83.95097,-1.605745,8166.0,165.5,9028.0,266.1,7677.0,155.6,Gaia DR3 3217361998595642368,83.9509403789,-1.60573612336,0.0,0.0,110.0,1636148068921376768,3217361998595642368,1451345253,0.0395,0.0333,9.2009,0.05,184.1056,12.593,-12.371,0.051,2.351,0.042,-0.1408,0.0042,-0.1212,0.1116,-0.2335,0.1689,-0.5276,-0.0332,0.3517,-0.2535,346,0,346,0,0.496,381.36,0.0,0.0,31,False,1.237,,,,,,,,40,20,0.076054,44,0.03315,3.244,0,0,1.018,0,335,5867.02815,4.34006,1351.83,16.266321,0.00287,40,838.438,11.7052,71.6295,18.029865,0.015412,39,7931.84,18.1775,436.354,14.999461,0.004525,1.495,0.0,3.0,0.0,1.0,0,3.030404,1.763544,1.26686,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.996487,3276.5,3274.8,3279.6,4.757,4.7433,4.8018,-0.3041,-0.3265,-0.2191,109.4577,108.862,110.0553,1.1446,1.1273,1.1569,0.7147,0.7038,0.7225,0.4774,0.4707,0.4823,MARCS,83.95099538413,-1.60574657154,0.828967,0.686704,-0.2587,0.126541,12.033424226363277,6.8371926353138015,11.993179727619122,6.796948136569647,11.924433202427142,6.728201611377667,11.758999044556335,6.56276745350686,9.964545454984805,4.7683138639353295
913,SSTSL2 J222146.65+583734.5,0,0,335.444398,58.626251,104.487065,1.220537,1,0,7,1,1,1,1,1,2,2,0.0,0,1,0,0,0.0,0,5289.0,8.024,3908.0,6.095,2908.0,16.48,1836.0,14.11,3940.0,110.4,0.0,0.0,0.0,0.0,0.96,0.98,0.73,0.0,0.0,0.0,592.9,581.2,167.5,170.6,35.7,3,3,0.0,0,N,1,1.093,1.277,4.848,6.503,77.21,30002711,30002711-30490,0,0,5.93,6.12,5.74,5.73,15.88,1125775771.0,1,335.4444,58.62631,9367.0,224.3,11600.0,320.5,9393.0,207.6,Gaia DR3 2200305805810527104,335.44445695741,58.62622815928,0.0,0.0,128.0,1636148068921376768,2200305805810527104,1620177104,0.024,0.0235,4.3015,0.028,153.4672,22.639,9.867,0.037,-20.376,0.031,-0.0862,0.0,-0.0969,-0.2114,0.102,-0.2642,0.0213,-0.2659,0.1253,-0.1549,358,0,358,0,1.2993,399.67,0.055,0.44318,31,False,1.32,,,,,,,,41,26,0.053133,50,0.01193,32.38,0,0,1.048,0,362,11231.01575,5.81132,1932.61,15.561319,0.002812,44,2858.36,12.3763,230.953,16.698252,0.005467,43,12675.0,14.0676,901.007,14.490521,0.003967,1.383,0.0,38.0,0.0,36.0,0,2.20773,1.136932,1.070798,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.992964,3762.5,3757.5,3772.3,4.6295,4.6215,4.6358,-0.0055,-0.0333,0.0176,231.711,230.0327,234.2196,0.6813,0.6733,0.6917,0.467,0.4614,0.4743,0.2716,0.2684,0.2759,MARCS,335.44437272172,58.62631871809,0.596117,0.490475,-0.1332,0.137737,11.812945430456486,4.988212172902715,11.656483805155595,4.831750547601825,11.492758595416529,4.668025337862758,11.357971407630039,4.533238150076269,8.150057334605565,1.3253240770517944
957,SSTSL2 J230304.08+602500.8,0,0,345.767021,60.4169,109.938373,0.308209,1,0,7,1,1,1,1,1,2,2,0.0,0,1,0,0,0.0,0,7414.0,7.704,5115.0,7.299,3390.0,15.87,2037.0,16.96,943.7,143.0,0.0,0.0,0.0,0.0,0.96,0.92,0.98,0.0,0.0,0.0,896.9,664.2,217.4,142.8,6.6,3,2,0.0,0,N,1,1.068,1.264,4.471,6.334,81.3,30002711,30002711-29059,0,0,3.71,3.81,3.84,3.81,9.08,768914184.0,1,345.767,60.4169,16190.0,536.8,18000.0,,15040.0,415.5,Gaia DR3 2014431131749875712,345.76721046801,60.41690677932,0.0,0.0,140.0,1636148068921376768,2014431131749875712,723116276,0.0249,0.026,4.4687,0.0304,147.1468,20.311,20.296,0.035,0.78,0.032,-0.2327,0.036,0.0049,-0.1937,0.1206,-0.2428,0.1626,-0.2578,0.1067,-0.3003,373,0,372,1,13.1707,850.2,0.232,14.498,31,False,1.321,,,,,,,,43,28,0.053785,50,0.007948,82.53,0,0,1.523,0,396,19640.83428,13.4865,1456.33,14.954467,0.002854,43,5100.03,17.2457,295.728,16.06961,0.004611,44,22010.3,37.4223,588.16,13.891332,0.004206,1.38,1.0,1.0,0.0,2.0,0,2.178279,1.115144,1.063135,-34.41,6.93,2.0,17.0,6.0,15.0,6.6851,,,990.385,,3500.0,4.0,-1.0,111.0,,,,13.327484,0.152296,12.0,,NOT_AVAILABLE,0.0,0.0,0.998613,3739.3,3729.8,3749.1,4.4262,4.4027,4.4368,-0.4276,-0.4917,-0.3763,219.4308,217.775,221.192,0.7285,0.7219,0.7372,0.5007,0.4961,0.5068,0.2891,0.2866,0.2926,MARCS,345.76702774979,60.41690331402,0.556401,0.508587,-0.2816,0.337619,11.446247893770083,4.739759961459233,11.364256097651989,4.657768165341139,11.326245355376322,4.619757423065472,11.245175527292687,4.5386875949818375,9.70171300154815,2.9952250692373
997,SSTSL2 J161011.00-194604.2,0,0,242.545841,-19.767837,354.050667,22.80819,1,0,7,1,1,1,1,1,2,2,2.0,0,0,0,0,0.0,0,10680.0,12.4,7695.0,7.447,5342.0,18.56,3019.0,9.519,748.0,16.05,0.0,0.0,0.0,0.0,0.0,1.02,0.95,1.02,0.0,0.0,778.1,926.8,296.4,353.0,46.6,3,3,0.0,0,P,2,1.006,1.035,5.022,5.681,25.01,40012241,40012241-170,0,0,3.47,17.18,4.51,17.76,263.58,415945072.0,1,242.5459,-19.76779,18160.0,401.5,20890.0,500.3,18370.0,355.2,Gaia DR3 6245669050173377280,242.5458049598,-19.76786399828,0.0,0.0,101.0,1636148068921376768,6245669050173377280,1186910433,0.048,0.0281,7.2021,0.0503,143.2005,25.788,-11.714,0.06,-22.974,0.041,-0.2315,-0.2754,-0.3311,0.0495,-0.0426,0.0915,0.1051,-0.1186,-0.004,-0.1732,265,0,265,0,0.654,344.17,0.135,1.8274,31,False,1.213,,,,,,,,30,15,0.086017,33,0.06064,10.65,0,0,1.028,0,273,9026.88651,17.3327,520.802,15.798522,0.003455,31,994.99,13.0416,76.2936,17.843996,0.014502,30,13028.8,79.8153,163.237,14.460636,0.00765,1.554,0.0,1.0,0.0,1.0,0,3.38336,2.045474,1.337886,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999995,3325.8,3321.8,3330.2,4.4907,4.4837,4.5031,0.1781,0.1712,0.187,138.5145,136.953,139.6094,1.7793,1.7635,1.7971,1.0835,1.0738,1.0948,0.7624,0.7562,0.7693,MARCS,242.54586028099,-19.76776189291,0.976525,0.651863,-0.1776,0.15606,11.049951216272602,5.342475022903113,10.92084863235369,5.2133724389842016,10.832484891670644,5.125008698301155,10.817995317235354,5.110519123865865,9.954043894508347,4.246567701138858
1055,SSTSL2 J013316.33+302306.0,0,0,23.318073,30.385005,133.528944,-31.624457,1,0,7,1,1,1,1,1,0,0,0.0,0,1,0,0,0.0,0,3411.0,2.791,2376.0,3.254,1927.0,7.09,1852.0,7.121,4682.0,35.87,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,1137.0,697.8,289.9,311.8,130.5,0,0,0.0,0,N,1,0.4851,0.6669,3.131,3.566,26.0,50058331,50058331-6,0,0,22.68,20.96,24.02,21.03,121.67,139692820.0,1,23.31814,30.38515,6855.0,145.2,7791.0,179.4,6374.0,117.4,Gaia DR3 303269122535986944,23.31796729532,30.38478731249,0.0,0.0,66.0,1636148068921376768,303269122535986944,56391388,0.0381,0.033,7.0354,0.0513,137.2066,75.086,-26.694,0.048,-70.181,0.037,0.1625,0.3251,-0.1799,-0.0876,-0.1317,-0.1877,-0.7163,-0.196,0.3024,0.1521,341,0,341,0,1.4034,388.17,0.0,0.0,31,False,1.299,,,,,,,,39,15,0.068902,41,0.01593,54.65,2,0,1.054,0,354,7788.63756,3.59721,2165.19,15.958714,0.002801,41,1735.92,9.35741,185.513,17.239716,0.006484,39,9213.64,10.7205,859.438,14.836818,0.003985,1.406,0.0,2.0,0.0,1.0,0,2.402898,1.281002,1.121896,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.997667,3538.1,3523.0,3549.8,4.8351,4.7891,4.8606,-0.5547,-0.6406,-0.4942,141.425,140.229,143.1158,0.7153,0.6994,0.7313,0.4777,0.467,0.4887,0.2877,0.2812,0.2942,MARCS,23.31810482779,30.38509922793,0.769442,0.621168,0.1592,0.849651,12.289175049485452,6.536544112423217,12.196754101999545,6.444123164937309,11.939540314245395,6.186909377183159,11.348550643928307,5.595919706866072,7.9627193657679864,2.2100884287057507
1158,SSTSL2 J160502.32-194155.3,0,0,241.259676,-19.698719,353.207342,23.741074,1,0,7,1,1,1,1,1,2,2,0.0,0,0,0,0,0.0,0,9348.0,9.741,6494.0,7.145,3644.0,26.5,2393.0,13.34,806.3,28.49,0.0,0.0,0.0,0.0,0.0,1.02,1.02,0.0,0.0,0.0,990.6,835.3,174.7,217.3,28.3,0,0,0.0,0,N,1,0.7295,0.9753,4.326,5.423,24.68,40012241,40012241-172,0,0,2.7,9.17,2.08,9.16,89.48,4647945.0,1,241.2596,-19.69873,15700.0,347.1,18860.0,434.3,15820.0,364.3,Gaia DR3 6247224962209972480,241.2596391032,-19.69884396088,0.0,0.0,100.0,1636148068921376768,6247224962209972480,1101503711,0.0453,0.0266,6.4789,0.0501,129.2118,23.915,-9.562,0.057,-21.92,0.032,-0.207,-0.2793,-0.1596,-0.0618,0.0232,0.0057,0.6204,-0.0149,-0.176,-0.0382,441,0,440,1,2.4629,600.63,0.172,3.7077,31,False,1.221,,,,,,,,51,16,0.078684,54,0.02036,28.79,0,0,1.084,0,456,8611.50511,5.47944,1571.6,15.849669,0.002841,54,1012.49,8.92585,113.434,17.825066,0.00997,54,12237.0,22.7414,538.094,14.528708,0.004284,1.539,0.0,1.0,0.0,0.0,0,3.296357,1.975396,1.320961,9.55,10.7,2.0,13.0,2.0,9.0,4.0781,,,917.321,,3500.0,4.5,0.5,101.0,,,,13.860639,0.104868,20.0,,VARIABLE,0.0,0.0,0.999983,3373.3,3370.6,3375.9,4.4718,4.4644,4.4782,0.192,0.1868,0.1969,157.5195,156.1988,158.9419,1.7685,1.7582,1.7778,1.0843,1.0779,1.0902,0.7565,0.7526,0.7602,MARCS,241.25968424451,-19.69874654047,0.9134,0.492984,-0.0368,0.466918,11.194582588703472,5.2079109657520455,11.105089482047479,5.118417859096052,11.247798680131629,5.261127057180202,11.070296353259506,5.083624730308079,9.872556239671118,3.885884616719691
1172,SSTSL2 J052443.73+015702.6,0,0,81.182209,1.950745,200.860019,-18.241915,1,0,7,1,1,1,1,1,0,0,0.0,0,0,0,0,0.0,0,3810.0,7.114,2557.0,5.736,1486.0,24.58,891.4,15.09,325.7,49.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.7,431.3,74.8,77.1,6.6,0,0,0.0,0,N,1,0.9845,1.475,6.196,7.356,46.19,40043551,40043551-4,0,0,1.04,4.95,1.16,5.11,30.28,803659682.0,1,81.18215,1.9507,9120.0,243.6,10720.0,266.5,8106.0,171.7,Gaia DR3 3222286745535464832,81.18228166836,1.95079538885,0.0,0.0,100.0,1636148068921376768,3222286745535464832,1336841911,0.0266,0.0207,3.9747,0.0309,128.6801,36.916,26.039,0.034,26.168,0.024,-0.0872,0.0073,-0.2525,0.1148,-0.2364,0.181,-0.7368,0.0184,0.2617,-0.196,415,0,410,5,-1.3506,372.75,0.0,0.0,31,False,1.359,,,,,,,,48,20,0.049457,51,0.005159,19.85,0,0,0.952,0,434,14803.01637,4.52973,3267.97,15.261492,0.002775,48,4557.47,12.4095,367.258,16.191732,0.004065,44,15014.2,13.0602,1149.61,14.306643,0.003896,1.322,0.0,1.0,0.0,1.0,0,1.88509,0.930241,0.954849,24.13,4.57,2.0,20.0,3.0,14.0,5.1784,,,957.843,,4000.0,4.0,0.25,111.0,,,,13.847903,0.080282,24.0,,NOT_AVAILABLE,0.0,0.0,0.992964,3735.1,3721.5,3743.4,4.5457,4.531,4.557,-0.5863,-0.6336,-0.5565,248.1221,240.0123,251.0443,0.215,0.1944,0.2278,0.1518,0.1372,0.1609,0.0835,0.0755,0.0885,PHOENIX,81.18216587381,1.95067908766,0.557257,0.39652,-0.2007,0.318221,12.169066908814896,5.1957396678529015,12.117043372706595,5.1437161317446005,12.221697577322638,5.248370336360644,12.142471525417704,5.16914428445571,10.856753492757319,3.883426251795324
1268,SSTSL2 J083825.07-531910.5,0,0,129.604478,-53.319597,270.400542,-7.264105,1,0,7,1,1,1,1,1,0,0,0.0,0,0,0,0,0.0,0,1506.0,4.304,1127.0,4.281,702.1,11.07,915.1,13.56,1341.0,84.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,273.5,73.7,77.4,15.8,2,0,0.0,0,N,1,0.9368,1.223,3.748,5.558,38.48,30002851,30002851-18565,0,0,3.16,3.98,2.94,4.39,13.13,157086221.0,1,129.6045,-53.3197,2611.0,86.57,2992.0,140.6,2739.0,100.9,Gaia DR3 5318157256154955520,129.60427601662,-53.31952239033,0.0,0.0,40.0,1636148068921376768,5318157256154955520,506398471,0.0728,0.0741,9.6304,0.0799,120.4665,48.787,-33.397,0.092,35.564,0.086,0.0985,0.2535,-0.0067,0.0707,0.1685,0.0752,-0.3032,0.1762,0.0745,0.1238,321,0,321,0,-2.3709,284.73,0.0,0.0,31,False,1.224,,,,,,,,37,23,0.131975,40,0.01323,173.0,0,0,0.906,0,335,1710.30092,2.0872,819.423,17.604685,0.003057,39,210.379,7.58596,27.7327,19.531036,0.039249,38,2418.15,10.4668,231.031,16.289186,0.006031,1.537,0.0,1.0,0.0,0.0,0,3.24185,1.926352,1.315498,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999832,3168.2,3163.9,3172.3,5.0745,5.0709,5.0778,-0.366,-0.3753,-0.357,108.7115,107.8824,109.4912,0.9972,0.9658,1.0283,0.6096,0.5901,0.6288,0.4169,0.4041,0.4295,MARCS,129.60452450005,-53.31968045436,1.473745,1.39632,0.1143,0.510696,13.17681691834224,7.995439477470656,13.006560402657168,7.825182961785584,13.035747168297343,7.854369727425759,12.113981711416134,6.93260427054455,9.320225944540503,4.138848503668919
1271,SSTSL2 J160532.15-193316.1,0,0,241.38396,-19.554476,353.409741,23.754796,1,0,7,1,1,1,1,1,2,2,2.0,0,0,0,0,0.0,0,14490.0,9.871,12680.0,9.662,10030.0,20.75,8950.0,15.18,4108.0,17.88,0.0,0.0,0.0,0.0,0.0,1.02,0.98,0.95,0.0,0.0,1330.8,1179.1,439.8,604.8,229.7,2,2,0.0,0,P,-1,0.7295,0.9753,4.326,5.423,24.68,40012241,40012241-172,0,0,11.32,11.83,11.41,11.44,228.96,415794191.0,1,241.384,-19.55444,14520.0,347.7,17570.0,420.8,18740.0,397.0,Gaia DR3 6247250010459625984,241.38391758664,-19.55454625418,0.0,0.0,97.0,1636148068921376768,6247250010459625984,466942750,0.0496,0.0304,6.5647,0.0546,120.3236,24.431,-10.408,0.068,-22.103,0.037,-0.1327,-0.1579,-0.1843,0.0485,-0.0712,0.085,0.5316,-0.0346,-0.2377,-0.0443,377,0,376,1,1.4559,457.21,0.124,1.245,31,False,1.228,,,,,,,,44,16,0.094958,51,0.1394,18.21,0,0,1.053,0,413,5982.42985,43.2151,138.434,16.245173,0.008313,46,814.741,31.9862,25.4716,18.060993,0.042717,49,8404.06,183.474,45.8052,14.936672,0.024003,1.541,0.0,11.0,0.0,11.0,0,3.124321,1.815821,1.3085,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999981,3000.3,3000.1,3000.8,3.9084,3.8985,3.9166,-0.5006,-0.5016,-0.5001,158.1745,156.8545,159.5869,1.2521,1.2413,1.2611,0.7514,0.7451,0.7567,0.5183,0.5138,0.522,PHOENIX,241.38396667345,-19.55444801899,1.101723,0.581726,-0.052,0.290978,10.718708384326007,4.723026032826361,10.378572058908151,4.382889707408506,10.148492268332985,4.152809916833339,9.638095511503318,3.642413160003672,8.1047218018564,2.1090394503567538
1277,SSTSL2 J000153.93-303904.2,0,0,0.474749,-30.651194,11.999631,-78.606416,1,0,7,1,1,1,1,1,2,2,0.0,0,0,0,0,0.0,0,3514.0,4.513,2421.0,4.099,1548.0,7.212,888.5,7.991,364.1,43.87,0.0,0.0,0.0,0.0,0.0,1.02,0.98,0.0,0.0,0.0,704.5,537.9,190.1,136.6,8.3,0,0,0.0,0,N,1,0.3772,0.5767,1.687,3.396,24.03,40025751,40025751-2,0,0,5.14,4.95,4.97,4.95,22.16,145553952.0,1,0.474533,-30.65115,7495.0,186.4,8076.0,200.8,6595.0,182.2,Gaia DR3 2314759674853802496,0.47481269689,-30.65130535531,0.0,0.0,120.0,1636148068921376768,2314759674853802496,942323583,0.0418,0.0389,5.8651,0.0489,119.9878,64.384,52.769,0.053,-36.888,0.046,-0.1236,0.2312,0.3523,-0.1513,-0.3149,-0.1026,0.4307,-0.0191,-0.2039,-0.0424,247,0,246,1,3.1488,328.57,0.179,2.8823,31,False,1.301,,,,,,,,28,17,0.075884,31,0.0254,61.59,0,0,1.145,0,268,8492.69827,4.30221,1974.03,15.864753,0.00281,30,1936.47,13.9779,138.538,17.121017,0.008319,31,9957.4,21.023,473.643,14.75253,0.00442,1.4,0.0,2.0,0.0,1.0,0,2.368487,1.256265,1.112223,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.992964,3591.7,3587.8,3595.2,4.8276,4.8221,4.8328,-0.2596,-0.2751,-0.2401,167.2118,165.7938,168.6723,0.6433,0.6316,0.6557,0.4319,0.4239,0.4402,0.2605,0.2558,0.2653,MARCS,0.47454008066,-30.65114140974,0.829744,0.726364,-0.031,0.446789,12.256874955105754,6.1405403451511695,12.176383219168104,6.060048609213519,12.177317210016845,6.06098260006226,12.146009519439797,6.0296749094852125,10.735746191834641,4.6194115818800565
